FOKONTANY_;COMMUNE_NA
Vohimiroro;Ankilimivory
Marohola;Ankilimivory
Sarotsetay Ambany;Ankilimivory
Behoririka;3e Arrondissement
Behoririka Ambatomitsangana;3e Arrondissement
Behoririka Ankaditapaka;3e Arrondissement
Ankaditapaka Avaratra;3e Arrondissement
Ankadifotsy Antanifotsy;3e Arrondissement
Ankadifotsy Befelatanana;3e Arrondissement
Ambodivona Ankadifotsy;3e Arrondissement
Soahitra II;Andrahanjo
Andrahanjo;Andrahanjo
Mevatanana;Andrahanjo
Antongodriha I;Andrahanjo
Andrainjato;Andrainjato
Fiarenana;Andrainjato
Mahatsinjony;Andrainjato
Tanambao Tsiakary;Andrainjato
Seranana;Andrainjato
Tambikandrefana;Andrainjato Centre
Andohamerina;Andrainjato Centre
Hoditrazo;Andrainjato Centre
Ampampana;Andrainjato Centre
Ambanana;Andrainjato Centre
Sahamena;Andrainjato Centre
Mitongoa;Andrainjato Est
Savahaonina;Andrainjato Est
Tambohonienjanina;Andrainjato Est
Fatakanina;Andrainjato Est
Taniditra;Andrainjato Est
Masiaposa;Andrakata
Andrakata;Andrakata
Androka;Andrakata
Ambalavelona;Andrakata
Ambohimarina;Andramasina
Ankorona;Andramasina
Ambodivato;Andramasina
Ambohijafy;Andramasina
Ambohitrandraina;Andramasina
Andramasina;Andramasina
Antanetibe Firaisana;Andramasina
Ambalavao Firaisana;Andramasina
Bemalaza;Andramasina
Mampatsa;Andramy
Bemandavo;Andramy
Antsingilitoka;Andramy
Tsianaloka;Andramy
Soatana;Andramy
Ampany Bara;Andramy
Andramy;Andramy
Antranokoaky;Andramy
Ambodivoangy Nord;Andranambolava
Marohita;Andranambolava
Ambohimiarina I;Andranambolava
Ampitabe;Andranambolava
Marovany;Andranambolava
Menagisy;Andranambolava
Andranambolava;Andranambolava
Ambinany Sahatsanda;Andranobolaha
Andranobolaha;Andranobolaha
Manolantanana;Andranobolaha
Sandrantsoha;Andranobolaha
Ampitabe Iambovinany;Andranobolaha
Ampihamy;Andranobory
Anagnorasa;Andranobory
67ha Avaratra Andrefana;1er Arrondissement
67ha Avaratra Atsinanana;1er Arrondissement
Lalamby Sy Ny Manodidina;1er Arrondissement
Antohomadinika Atsimo;1er Arrondissement
Andavamamba Anjezika II;1er Arrondissement
Ampandrana Ankadivato;1er Arrondissement
Ankasina;1er Arrondissement
Antohomadinika Antsalovana Faa;1er Arrondissement
Andohatapenaka II;1er Arrondissement
Amparibe Ambohidahy Mahamasina;1er Arrondissement
Antetezanafovoany II;1er Arrondissement
Andranomanalina Afovoany;1er Arrondissement
Andranomanalina I;1er Arrondissement
Tsarahonenana;Marondry
Mariarano;Marondry
Morafeno;Marondry
Miarinarivo Sud;Marondry
Andriavato Masindray;Marondry
Voninahitrinitany;Marondry
Anivorano Est;Maropaika
Maroangaty;Maropaika
Iabofotaka;Maropaika
Maropaika;Maropaika
Marolaka;Maropaika
Tantalavalo;Nosy Ambositra
Ankatsankatsa Sud;Nosy Ambositra
Tanamanitsy;Nosy Ambositra
Nosy Ambositra;Nosy Ambositra
Soatanimbary;Nosy Ambositra
Bejangoa;Nosy Ambositra
Tsararivotra;Nosy Varika
Ambinany Sakaleona;Nosy Varika
Tanambao Berano;Nosy Varika
Andonaka I;Nosy Varika
Sahafary;Nosy Varika
Ifasina;Nosy Varika
Mahafitodika;Nosy Varika
Sahabe;Nosy Varika
Bebozaka;Nosy Varika
Amboangisoa;Port Berge
Mahasalama;Port Berge
Tsararivotra;Port Berge
Andohomby;Port Berge
Ambohimalaza;Port Berge
Manarimaevaloka;Port Berge
Ankorovaka;Port Berge
Andribavontsona;Port Berge II
Mahadera;Port Berge II
Ambovomamy;Port Berge II
Tsinjorano II;Port Berge II
Port Berge Taloha;Port Berge II
Besatramirina;Port Berge II
Anahidrano II;Port Berge II
Ampombibe I;Port Berge II
Ivato;Sahamatevina
Sahavongo;Sahambala
Andratanaomby;Sahambala
Antilikambo;Sahambala
Manamby;Sahambala
Ambodirafia;Sahambala
Sahambala;Sahambala
Manamandrozana;Sahambala
Ambalatenina;Sahambala
Ambalakondro;Sahambala
Andratambazaha;Sahambala
Antenina;Sahambala
Ambodiara;Sahambala
Bemahabo;Sahambano
Andranomasy;Sahambano
Ambatosia;Sahambano
Andakana;Sahambano
Ankadihambana;Sambaina
Soarano Ambany;Sambaina
Amboanemba;Sambaina
Antsahafohy;Sambaina
Marovohitra;Sambaina
Ankazobe;Sambaina
Nanganehana;Sambaina
Antombotokana;Sambaina
Sambaina Ambany;Sambaina
Sambaina Ambony;Sambaina
Ambatomafana;Sambaina
