FOKONTANY_;COMMUNE_NA
Ankara;Ianapera
Ankazomanga Bas;Ianapera
Ankazotelo;Ianapera
Benonoky;Ianapera
Antsohamamy;Ianapera
Antanimena;Ianapera
Berety Mahasoa;Ianapera
Beambatry;Ianapera
Sakalava Ianapera;Ianapera
Andranata;Ianapera
Bekaraoky;Ianapera
Ambararata Nord;Ianapera
Ambondrolava;Ianapera
Ankilimary;Ianapera
Andranosoa;Ianapera
Vohidravy;Ianapera
Bevinda;Ianapera
Beretry;Iara
Lovaela;Iara
Befotaky;Iara
Mahabo;Iara
Fenoarivo II;Iara
Vohibola;Iara
Iara;Iara
Ambohipeno;Iara
Tsararano;Iara
Ampefivato;Iara
Amboasary;Iarinarivo
Ambohinanjakana;Iarinarivo
Manonilahy I;Iarinarivo
Tanjondroa;Iarinarivo
Ambatomainty;Iarinarivo
Manandrambato;Iarintsena
Iharihary;Iarintsena
Sakaviro;Iarintsena
Firaisantsoa;Iarintsena
Miaramandroso;Iarintsena
Tananomby;Iarintsena
Anja;Iarintsena
Manampy;Iarintsena
Lalangina;Iarintsena
Soanataondray;Iavonomby Vohibola
Ambalalamay;Iavonomby Vohibola
Fivoarana;Iavonomby Vohibola
Lovasoanirina;Iavonomby Vohibola
Behena;Iavonomby Vohibola
Nohasoavimbahoaka;Iavonomby Vohibola
Manantenasoa Handroso;Iavonomby Vohibola
Ambodiara;Ifanadiana
Sahafitoroka;Ifanadiana
Maromena;Ifanadiana
Andranofolahina;Ifanadiana
Amboraka;Ifanadiana
Ifanadiana;Ifanadiana
Antafotenina;Ifanadiana
Ambodirafia II;Ifanadiana
Fenoarivo I;Ifanadiana
Ambinanindranotelo;Ifanadiana
Ankaboka;Ifanadiana
Ambiabe I;Ifanadiana
Ambatofisaka;Ifanirea
Vinany;Ifanirea
Ambohimalaza;Ifanirea
Tambanihara;Ifanirea
Andemaka;Ifanirea
Ampandramana;Ifanirea
Ifanirea;Ifanirea
Ihevo;Ifanirea
Vohibola;Ifanirea
Sahahofika;Ifanirea
Analamary;Ifanirea
Ifarantsa;Ifarantsa
Ivorona;Ifarantsa
Evonje;Ifarantsa
Ankera;Ifarantsa
Fanjahira;Ifarantsa
Fangeha;Ifarantsa
Vatomivarina;Ifarantsa
Andanivato;Ifarantsa
Ivolo;Ifarantsa
Ifasina I;Ifasina I
Ambatomaronono;Ifasina II
Ampetraka;Ifasina II
Vohitrambana;Ifasina II
Marovato;Ifasina II
Mahasoa;Ifasina II
Ranolalina;Ifasina II
Ifatsy;Ifatsy
Voanaly;Ifatsy
Karimbelo Z;Ifatsy
Beanana;Ifatsy
Fenoarivo;Ifatsy
Morarano;Ifatsy
Mahabe;Ifatsy
Ifotaka;Ifotaka
Befantiolotsy;Ifotaka
Mahabo;Ifotaka
Mangily;Ifotaka
Ambaninato;Ifotaka
Bekiria II;Ifotaka
Bekiria I;Ifotaka
Fenoaivo;Ifotaka
Analoalo;Ifotaka
Tsileha;Ifotaka
Anjamahavelo;Ifotaka
Anjando;Ifotaka
Tsaripioky;Ifotaka
Ankilimanjosoa;Ifotaka
Bebarimo;Ifotaka
Beraketa;Ifotaka
Ifotaka D.P.;Ifotaka
Tanambao;Ifotaka
Tsaramandroso;Ihadilanana
Ambohitsoa;Ihadilanana
Malakialina;Ihadilanana
Ambohitranakova;Ihadilanana
Mandrovana;Ihadilanana
Ambohimirary;Ihadilanana
Ambatonandriana;Ihadilanana
Ambohipiandrianana;Ihadilanana
Ambohimanana;Ihadilanana
Andraramila;Ihazoara
Ivondrona;Ihazoara
Ihazoara;Ihazoara
Andreanamahasoa;Ihazoara
Ambozontany;Ihazoara
Soavimbahoaka;Ihazoara
Nanadreana;Ihazoara
Ambohimaranitra;Ihazoara
Soatsiavela;Ihazoara
Ikilivia;Ihazoara
Lohavala;Ihorombe
Ambohimanany;Ihorombe
Madinikora;Ihorombe
Ambohimaranitra;Ihorombe
Ihorombe;Ihorombe
Iharonga;Ihorombe
Vohiposa;Ihorombe
Vohibolo;Ihorombe
Mahabo;Ihorombe
Beretra I;Ihorombe
Soanatao;Ihosy
Morafeno;Ihosy
Malaza;Ikalalao
Antetindravita;Ikalalao
Andohamango I;Ikalalao
Iavimanangana;Ikalalao
Ikalalao;Ikalalao
Ambohitsaony;Ikalalao
Ambohibe;Ikalalao
Ankofafamavo;Ikalalao
Matsiatra;Ikalamavony
Mananatanana;Ikalamavony
Ivatsiana;Ikalamavony
Manorikandro;Ikalamavony
Ambodivohitra;Ikalamavony
Fotadalina;Ikalamavony
Vohitrarivo Manirisoa;Ikalamavony
Ampanivana;Ikalamavony
Maromandia;Ikongo
Ambalagoavy;Ikongo
Antekoho;Ikongo
Ambohimahasoa Nord;Ikongo
Saharamy;Ikongo
Papango;Ikongo
Sahavondrony;Ikongo
Tsaratanteraka;Ikongo
Tsarakianja Est;Ikongo
Sahakondro;Ikongo
Marovitsika;Ikongo
Ambodilazavivy;Ikongo
Ambohitsara Est;Ikongo
Nanarena;Ikongo
Andromba;Ikongo
Tsaratanana;Ikongo
Ambohimiary;Ikongo
Mahazendana;Ikongo
Ambalavolo;Ikongo
Antavolo;Ikongo
Voninkazo;Ikongo
Antsatrana;Ikongo
Ambodiara Dihy;Ikongo
Anorombatotelo;Ikongo
Anorombatobe;Ikongo
Amboangisay;Ikongo
Ambohimasina;Ilafy
Antanandava;Ilafy
Antanifotsy Bevava;Ilafy
Ilaka Centre;Ilaka Centre
Fandrianjato;Ilaka Centre
Mamovoka;Ilaka Centre
Morarano Voalohany;Ilaka Centre
Ambalavao Voainana;Ilaka Centre
Mahatsanda;Ilaka Centre
Ikianja;Ilaka Centre
Tsaramandroso;Ilaka Centre
Bemasoandro;Ilaka Centre
Antokodambo;Ilaka Centre
Ambohiperivoana;Ilaka Centre
Ankadilanana;Ilaka Centre
Antanimenakely;Ilaka Centre
Soavina;Ilaka Centre
Ankeniheny;Ilaka Centre
Ambalakondro;Ilaka Est
Ambodibakoly;Ilaka Est
Saheny II;Ilakaka
Bemanga;Ilakaka
Ampotaka;Imerina Imady
Ambatosada;Mahela
Ambalahady;Mahela
Mahela;Mahela
Ampasimanjeva;Mahela
Antanandava;Mahela
Ambatovato Centre;Imongy
Fekony;Imongy
Andramirava II;Imongy
Andratino;Imongy
Vohitralanana;Imorona
Ankiliambany;Itampolo
Tsiandriona Sud;Itampolo
Voroja;Itampolo
Ampitanake;Itampolo
Ambolisono;Itampolo
Ivato;Ivato
Ambalamahavelona;Ivoamba
Mandrindrina;Ivoamba
Ambodirano;Ivoamba
Ranomadio;Ivoamba
Maregny;Jafaro
Mandily;Jafaro
Betaranta;Jafaro
Ankorokoroka;Jafaro
Marosoritse;Jafaro
Bemonjola;Jafaro
Tsimanaraka;Jafaro
Antsakoambalo;Jafaro
Andemby Tanamasy;Jafaro
Ampandrabe;Jangany
Mahadera;Lanjarivo
Ambato;Lanjarivo
Vohitrarivo;Lanjarivo
Sarahandrano;Lanjarivo
Ambohimitsinjo;Lanjarivo
Ambohimandroso;Lanjarivo
Telolahy;Imerina Imady
Imerina Imady;Imerina Imady
Antanimena;Imerina Imady
Mandritsara;Imerina Imady
Ambohibary;Imerina Imady
Ankarinarivo;Imerina Imady
Andraranina;Imerina Imady
Ambohimahazo;Imerina Imady
Antemitra;Imerintsiatosika
Amboara;Imerintsiatosika
Tsarazaza;Imerintsiatosika
Antsentsidranovato;Imerintsiatosika
Ambohidehibe;Imerintsiatosika
Tsinjorano;Imerintsiatosika
Apangabe;Imerintsiatosika
Ambodivoangy;Kelilalina
Ambohinihaonana;Kelilalina
Kianjanomby;Kelilalina
Ampitambe;Kelilalina
Mandrivany;Kelilalina
Ambodipaiso Nord;Kelilalina
Ambodipaiso Sud;Kelilalina
Kelilalina;Kelilalina
Ambatomiankinkely;Komajia
Tsararano;Komajia
Ankisompy;Komajia
Ambatomainty;Komajia
Andranomiditra II;Komajia
Andembinialifotsy;Komajia
Tsinaha;Kopoky
Befahitsy;Kopoky
Tamonto I;Kopoky
Ampasimitera;Maevatanana
Maevatanana;Maevatanana
Androfiamadinika;Maevatanana I
Antaninandro;Maevatanana I
Antanambao;Maevatanana I
Ambalarano;Maevatanana I
Anosikely Avaratra;Maevatanana I
Andranomangatsiaka;Maevatanana I
Namahoaka;Mahambo
Mahadilo;Mahambo
Andratanimoina;Mahanoro
Vohitsoa Nord;Mahanoro
Tanetilava;Mahanoro
Ambalabe II;Mahanoro
Mahanoro;Mahanoro
Mahatsara;Mahanoro
Miakara;Mahanoro
Maromitety;Mahela
Ambodimanga II;Mahela
Anilavinany;Mahela
Sakavatoy;Ilakaka
Ilakaka;Ilakaka
Mandaboaly;Ilakaka
Mandatany;Ilakaka
Andravindahy;Ilakaka
Mitsinjo;Ilakaka
Tanandava Ilola;Ilakaka
Sakalama;Ilakaka
Vohimena;Ilakaka
Iarimbola;Ilakatra
Mita;Ilakatra
Ampandramana;Ilakatra
Vohimary I;Ilakatra
Tanambao I;Ilakatra
Vatorao;Ilakatra
Ambohitsara IIi;Ilakatra
Havohavo;Ilakatra
Sakavolo;Ilakatra
Ranomainty;Ilakatra
Ambohitsara I;Ilakatra
Mahavelo;Ilakatra
Tsaraharena;Ilakatra
Ambodimanga;Ilakatra
Anivorano;Ilakatra
Amboangibe;Ilakatra
Ambodiara I;Ilakatra
Manatotsikora;Ilakatra
Tanambao II;Ilakatra
Ilaka;Ilakatra
Ankaboka Bara;Ilemby
Anja;Ilemby
Ilemby;Ilemby
Marovitsika;Ilemby
Ankerika Besavoa;Ilemby
Fandoma;Ilemby
Mitsinjo;Imanombo
Analavondrovey;Imanombo
Ambalantany I;Imanombo
Ankilivohitse;Imanombo
Finday;Imanombo
Esogno Antanele;Imanombo
Kalady;Imanombo
Antsakoamalangy;Imanombo
Tsikolaky;Imanombo
Imanombo;Imanombo
Iaborano;Imanombo
Antesomay;Imanombo
Ambaninato I;Imanombo
Ambanenato Mahazoarivo;Imanombo
Ambaninato II;Imanombo
Anafondravoay;Imanombo
Andranovola;Imanombo
Antehalomboro;Imanombo
Andemby;Imanombo
Imerimandroso;Imerimandroso
Marovato;Imerimandroso
Ambaniala;Imerimandroso
Antanifotsy;Imerimandroso
Andranomandeha;Imerimandroso
Ankasina;Imerimandroso
Ambohitrapirana;Imerimandroso
Amboasarimasina;Imerimandroso
Ambodinonoka;Imerimandroso
Tsarahonenana;Imerimandroso
Ambohijanaharikely;Imerimandroso
Vohitsoa;Imerimandroso
Vohitsivalana;Imerimandroso
Ampanarivoana;Imerina Imady
Tsenamasoandro;Imerintsiatosika
Fonenana;Imerintsiatosika
Bemasoandro;Imerintsiatosika
Antamboho I;Imerintsiatosika
Alatsinainy Loharano;Imerintsiatosika
Andavaka Loharano;Imerintsiatosika
Ankazondandy;Imerintsiatosika
Fiantsonana;Imerintsiatosika
Malaza;Imerintsiatosika
Talata Maromena Sud;Imerintsiatosika
Ambohitrantenaina;Imerintsiatosika
Ambohitsaratelo;Imerintsiatosika
Talata Maromena Nord;Imerintsiatosika
Antanetibe;Imerintsiatosika
Ambohimiadana II;Imerintsiatosika
Antamboho II;Imerintsiatosika
Ampitanomby;Imerintsiatosika
Soavindray;Imerintsiatosika
Ambohimanarivo;Imerintsiatosika
Mamoladahy;Imerintsiatosika
Miakadaza;Imerintsiatosika
Labrousse;Imerintsiatosika
Antsenakely;Imerintsiatosika
Tsarafaritra;Imerintsiatosika
Antanambao;Imerintsiatosika
Fiadanana;Imerintsiatosika
Morarano Nord;Imerintsiatosika
Avarabary;Imerintsiatosika
Merimandroso;Imerintsiatosika
Zanabahona;Imito
Ambohidravaka;Imito
Ambohimananto;Imito
Vohitrarivo;Imito
Ambatomanana;Imito
Andraizay;Imito
Andraina;Imito
Ampasina;Imito
Ankerambe;Imito
Vohitraivo;Imito
Mandimbisoa;Imito
Tsararivotra;Imito
Riamanombo;Imito
Ampanangananavozo;Imito
Soamahatamana;Imito
Imito;Imito
Antoladrano;Imito
Imongy Central;Imongy
Tomily;Imongy
Andramirava Tsianoha;Imongy
Ankilibe Nord;Imongy
Andramirava Centre;Imongy
Imongy I;Imongy
Antsakoamanga Centre;Imongy
Andamoty;Imongy
Ambaromanintsy;Imongy
Ambatovato Makifaha;Imongy
Ankilimalangy;Imongy
Ambonaivo Nord;Imongy
Antsakoamanga Bas;Imongy
Marobe;Imongy
Ivontaka;Imorona
Hoalampano;Imorona
Ambodivondrozona;Imorona
Antsirakivolo;Imorona
Imorona;Imorona
Seranambe;Imorona
Inanantonana;Inanantonana
Androfia;Inanantonana
Amparihimboahangy;Inanantonana
Bemasoandro;Inanantonana
Ambatomainty;Inanantonana
Antanety Sud;Inanantonana
Namodila;Irina
Ihivoka II;Irina
Ihivoka I;Irina
Iaborano;Irina
Ianaboro;Irina
Irina;Irina
Andrarezo;Isahara
Ambalasavoa;Isahara
Marosalala;Isahara
Anezandava;Isahara
Isahara;Isahara
Tanambao;Isahara
Ampasitsiriry;Isahara
Mahatsara;Isaka
Fiehana;Isaka
Beoro;Isalo
Bepeha;Isalo
Adabozato;Isalo
Isalo;Isalo
Antsikida;Isalo
Analambiby;Isalo
Soatanana Morlot;Isalo
Ambindamahery;Isoanala
Betaimbala;Isoanala
Marovala Toby;Isoanala
Andriabe Haut;Isoanala
Lavalila;Isoanala
Sarodrano;Isoanala
Androka;Isoanala
Tanandava Sud;Isoanala
Isoanala Sud;Isoanala
Vohitsevo;Isoanala
Beraketa Sud;Isoanala
Miary;Isoanala
Isoanala Nord;Isoanala
Marolahy;Isorana
Mandanona;Isorana
Tsiandriona Nord;Itampolo
Sakariake;Itampolo
Nisoa;Itampolo
Besely Nord;Itampolo
Befolotse;Itampolo
Andoharano;Itampolo
Androipano;Itampolo
Kaikarivo Sud;Itampolo
Ankilibory Sud;Itampolo
Ambalatsimiviky;Itampolo
Ankamena II;Itampolo
Ankamena I;Itampolo
Betratratra;Itampolo
Besely Sud;Itampolo
Ambaladoda;Itampolo
Befengoke;Itampolo
Kaikarivo Nord;Itampolo
Itaosy;Itaosy
Anjakaivo;Itaosy
Tsarazaza;Itaosy
Ambohiparaky;Itaosy
Ambodifasika;Itaosy
Avarabohitra;Itaosy
Ankarabo;Itondy
Marerano;Itondy
Bebozaka;Itondy
Ambohibary;Itondy
Itondy;Itondy
Befotaka;Itondy
Ifasina;Itremo
Ambalahady;Itremo
Andranovory;Itremo
Tsimanariloka;Itremo
Ambalamarina;Itremo
Itremo;Itremo
Ambondrona Est;Itremo
Mahazoarivo;Ivandrika
Ambalolo;Ivandrika
Bekaraoky Andrefana;Ivandrika
Ivandrika;Ivandrika
Bevinany;Ivandrika
Ambalalehibe;Ivato
Trangaina;Ivato
Tsaingy;Ivato
Manangary;Ivato
Ampanafanana;Ivato
Ambanitanana;Ivato
Ambohipanalinana;Ivato
Sahabe;Ivato
Ankaramainty;Ivato
Ankotsaka;Ivato
Toareny;Ivato
Ivato Centre;Ivato
Miarina;Ivato
Soafandry;Ivato
Amindrazaka;Ivato
Ampadirana;Ivato
Ambalamarina;Ivato
Tangina;Ivato
Ivato Aeroport;Ivato Aeroport
Ankadindravola;Ivato Firaisana
Andafiavaratra Tanambao;Ivato Firaisana
Mandrosoa Ivato;Ivato Firaisana
Ambodirano;Ivato Firaisana
Ilaivola;Ivato Firaisana
Mahasoa II;Ivato
Emita;Ivato
Ambohitsara;Ivato
Iandray;Ivato
Ivato;Ivato
Ferena;Ivato
Nosivelo;Ivato
Amboangy;Ivato
Voasary;Ivato
Tanandava;Ivato
Ankadindambo;Ivoamba
Ivoamba;Ivoamba
Tombadinana;Ivoamba
Ambondrombato;Ivoamba
Antady;Ivoamba
Ambalatany;Ivoamba
Amontana;Ivoamba
Fangodahy;Ivoamba
Ranomena;Ivoamba
Vohitrarivo;Ivoamba
Longoza;Ivohibe
Andreamalama;Ivohibe
Ankarinoro;Ivondro
Marozano;Ivondro
Lavaraty;Ivondro
Ampasy;Ivondro
Ambahatsy;Ivongo
Andranonjanahary;Ivongo
Andranolava;Ivongo
Ivongo;Ivongo
Sakaroa;Ivongo
Firaisantsoa I;Ivony Miaramiasa
Ambivisoratra;Ivony Miaramiasa
Firaisantsoa II;Ivony Miaramiasa
Ankotsobe;Jafaro
Antafianampela Haut;Jafaro
Antafianampela Bas;Jafaro
Antanantsoa;Jafaro
Ankobo II;Jafaro
Analatsama;Jafaro
Ampangindraoke;Jafaro
Ankobo I;Jafaro
Ambanditse;Jafaro
Ankara Andindo;Jafaro
Ankilimiandra;Jafaro
Ampahejoloky;Jafaro
Ankilimiary;Jafaro
Ankarana Anivo;Jafaro
Andahivozaka Haut;Jafaro
Magnevotse;Jafaro
Anjakamba Haut;Jafaro
Tsiabetsaka;Jafaro
Anjakamba Bas;Jafaro
Androtoka;Jafaro
Beteny;Jafaro
Betapoaka;Jafaro
Afondratehaky;Jafaro
Antanimanoy;Jafaro
Anjeba;Jafaro
Jafaro I;Jafaro
Anjandroe Behevotre;Jafaro
Sovatry;Jafaro
Besakoa Bas;Jafaro
Ambory Bas;Jafaro
Antsomotsala;Jafaro
Maliosoa;Jafaro
Ambondrolava;Jangany
Andriamandevy;Jangany
Ianapandra;Jangany
Ambalamary;Jangany
Anteny Mahasoa;Jangany
Reho Mahatsinjo;Jangany
Jangany;Jangany
Manombo Est;Jangany
Sakamahily Est;Jangany
Ampety;Jangany
Joffre Ville;Joffre Ville
Morafeno;Joffre Ville
Ambibaka;Joffre Ville
Kalafotsy;Kalafotsy
Ambahaka;Kalafotsy
Voena;Kalafotsy
Mahafiango;Kalafotsy
Ambalavary;Kalafotsy
Akondromainty;Kalafotsy
Tanambao II;Kalafotsy
Marozahitra;Kalafotsy
Ihazomena;Kalafotsy
Ambalateny;Kalafotsy
Antsahamelokabe;Kalandy
Ampandrana;Kalandy
Antsatramalaza;Kalandy
Andapihely;Kalandy
Ambodisaina;Kalandy
Maevahalana;Kalandy
Farara;Kalandy
Maetsamena;Kalandy
Anjobany;Kalandy
Ambalafary;Kalandy
Masiakomby;Kalandy
Kalandy;Kalandy
Antanandava;Kalandy
Vohitsara;Kalandy
Ambalajia;Kandreho
Morarano;Kandreho
Antsakoamanera;Kandreho
Ambanjabe Ouest;Kandreho
Kandreho;Kandreho
Andebadeba;Kandreho
Karimbary;Karianga
Elomaka;Karianga
Mandritsara;Karianga
Marovandrika;Karianga
Karianga;Karianga
Esongy;Karianga
Sosobahy;Karianga
Mahatsinjobe;Karianga
Vohibe;Karianga
Karimbary;Karimbary
Anezandava;Karimbary
Ranomena;Karimbary
Mahafasa;Karimbary
Anandretry;Karimbary
Analatelo;Katsepy
Antrema;Katsepy
Sankoany;Katsepy
Katsepy;Katsepy
Ambondrona;Katsepy
Beantsiva;Katsepy
Tsiandrarafa;Katsepy
Sahavatana;Kelilalina
Andranomainty;Kelilalina
Anosy;Kelilalina
Fotsialanana;Kelilalina
Ambaladingana;Kelilalina
Ankisatra;Keliloha
Ambatomitsangana;Keliloha
Amparihitsiritra;Keliloha
Ampasiria;Keliloha
Ambatomandondona;Keliloha
Ambanja;Keliloha
Tsaravoatra;Keliloha
Ambodivoara;Keliloha
Keliloha;Keliloha
Andriamenakely;Kiangara
Tsarahonenana;Kiangara
Antanandava;Kiangara
Ambohitrolomahitsy;Kiangara
Ambohimanjaka;Kiangara
Antanetibe;Kiangara
Tsiafahy;Kiangara
Kianjasoa Kiangara;Kiangara
Ambohinaorina;Kiangara
Mandrarahody;Kiangara
Bemasoandro;Kiangara
Ambohimiadana;Kiangara
Soanirina;Kianjandrakefina
Ambolotara;Kianjandrakefina
Andranonahantona;Kianjandrakefina
Ankarinjato;Kianjandrakefina
Ambalasoaray;Kianjandrakefina
Marofototra Miray;Kianjandrakefina
Kianjandrakefina;Kianjandrakefina
Namelana;Kianjandrakefina
Tsimatahodalana;Kianjandrakefina
Anasana;Kianjandrakefina
Ambodivolamena;Kianjandrakefina
Ambohimandroso;Kianjandrakefina
Ankosy;Kianjandrakefina
Soafiherenana;Kianjandrakefina
Anjanina;Kianjandrakefina
Ambohibary;Kianjandrakefina
Kianjanomby;Kianjanomby
Miarinarivo;Kianjanomby
Ambolotara;Kianjavato
Ambohitsara;Kianjavato
Fotobohitra;Kianjavato
Kianjavato;Kianjavato
Ankosibe;Kianjavato
Ambodibonary;Kianjavato
Ambalahosy Sud;Kianjavato
Vohimpotsy;Kianjavato
Ambodifandramanana;Kianjavato
Ambalavao Hoditavy;Kirano
Fihaihana;Kirano
Manamihandro;Kirano
Tsimaitohasoa;Kirano
Vohidahy;Kirano
Kirano Firaisantsoa;Kirano
Ambatofotsy Be;Kiranomena
Ankoririka;Kiranomena
Antsahatanteraka;Kiranomena
Mangavilany;Kiranomena
Analavory;Kiranomena
Ambatosariomby;Kiranomena
Kiranomena;Kiranomena
Mahatsinjo;Kiranomena
Amparihitany;Kiranomena
Komajia;Komajia
Ambatoharanana;Komajia
Ambatolampy;Komajia
Ambohimiandra;Komajia
Sihanakapaha;Kopoky
Ampangidraty;Kopoky
Ankilevoangy;Kopoky
Tamonto II;Kopoky
Ampilofilo;Kopoky
Iotry;Kopoky
Afondravoatse Nord;Kopoky
Afondravoatse Anjandavo;Kopoky
Afondravoatse Sud;Kopoky
Tedreatsy;Kopoky
Ambohimagnare;Kopoky
Betsako;Kopoky
Teza;Kopoky
Bevolombity;Kopoky
Tamonto Sud;Kopoky
Tamontondava;Kopoky
Tamontopoty;Kopoky
Anjapoty;Kopoky
Tsinaha Tratravaky;Kopoky
Tambanivaro Avaratra;Kopoky
Tambanivaro;Kopoky
Ambatomasina;Lakato
Anivorano;Lakato
Vohibolo;Lakato
Marofody;Lakato
Sahamadio;Lakato
Ambodivarongy;Lakato
Ampasimazava;Lakato
Mahafiaina;Lakato
Lakato;Lakato
Sahavolo;Lakato
Lanivo;Lanivo
Fanovia;Lanivo
Farafasy;Lanivo
Tsarary;Lanivo
Anosy;Lanivo
Mahazoarivo;Lanivo
Vohimasy;Lanivo
Tanambao Analanantsoa;Lanjarivo
Soamitsinjo;Lanjarivo
Analanantsoa;Lanjarivo
Andampibe;Lanjarivo
Vohitsoa;Lanjarivo
Ambodilalona;Lanjarivo
Mangatsahatsa;Lanjarivo
Lanjarivo;Lanjarivo
Lazarivo II;Lazarivo
Andoharano Vohiboro;Lazarivo
Ankazondringitsy;Lazarivo
Ankilivao;Lazarivo
Ankily Haut;Lazarivo
Anaviavy Sud;Lazarivo
Maroara;Lazarivo
Vohitoka Nord;Lazarivo
Andoharano Sud;Lazarivo
Vohitsevo Haut;Lazarivo
Mandafotsy;Lazarivo
Andoakaolo;Lazarivo
Andranomavo;Lazarivo
Midongy Andrefana;Mahaditra
Vatomitantana Ambatoteraka;Mahaditra
Ambohibory Moralina;Mahaditra
Ambalavao Fihahia;Mahaditra
Asabotsy Moralina;Mahaditra
Vohitraveotra;Mahaditra
Maromiandra;Mahaditra
Ambalamarina;Mahaditra
Tambohosoa Monongona;Mahaditra
Tsimaitohasoa Nord;Mahaditra
Anjanavorona;Mahatsara Sud
Manampotsy;Mahatsara Sud
Iamborano;Mahatsara Sud
Amboanato;Mahatsara Sud
Mahatsara Sud;Mahatsara Sud
Andranomanitra;Mahavanona
Mahagaga;Mahavanona
Nosimbary;Mahavanona
Antetezana;Mahavanona
Daraina;Mahavanona
Vohibe;Mahazoarivo
Lanjana;Mahazoarivo
Seranana;Mahazoarivo
Antanandava;Mahazoarivo
Mahatsara;Mahazoarivo
Ambodinonoka;Mahela
Mahela;Mahela
Fiadanana;Mahela
Betoko II;Mahela
Anosikely;Mahela
Betaly II;Lazarivo
Betaly I;Lazarivo
Betaly Ankaranabo;Lazarivo
Soarano;Lazarivo
Farezy;Lazarivo
Beantaky;Lazarivo
Lazarivo;Lazarivo
Vohitsevo I;Lazarivo
Mandarano;Lazarivo
Mibay Tanimandry;Lazarivo
Lambosy;Lazarivo
Ambararata Sud;Lazarivo
Vohimary;Lazarivo
Vohipotsy Centre;Lazarivo
Vohipotsy Nord;Lazarivo
Ampiha Haut;Lazarivo
Mandahazo;Lazarivo
Andoharano Nord;Lazarivo
Antohabato;Lazarivo
Antsonjo I;Lazarivo
Sakaravabe;Leanja
Ankatoko Atsimo;Leanja
Beromba;Leanja
Angodona;Leanja
Fenoarivo;Leanja
Betsitindry;Leanja
Ambodibonara;Leanja
Antafiandakana;Leanja
Antsohihibe;Leanja
Ambalafary;Leanja
Marosely;Leanja
Antsaronala;Leanja
Ambarionadabo;Leanja
Ambalantsotry;Leanja
Antsangambato;Leanja
Ambalabe;Leanja
Antsiradrano;Leanja
Andohomby;Leanja
Marosakoana;Leanja
Begoroga;Leanja
Berotra;Leanja
Maevaranohely;Leanja
Bemanevika;Leanja
Ambalavandrika;Lohafary
Vohimangidy;Lohafary
Ambohipeno;Lohafary
Manambarivo;Lohafary
Lohafary;Lohafary
Fotsivavo Nord;Lohafary
Marofisokina;Lohariandava
Ampasimbola;Lohariandava
Fierenana;Lohariandava
Leokasina;Lohariandava
Ambodiatafana;Lohariandava
Andonabe;Lohariandava
Ampihananana;Lohariandava
Lohariandava;Lohariandava
Antsirakaomby;Lohariandava
Tanambao Sanjaviavy;Lohariandava
Androrangabe;Lohavanana
Sandrangivy;Lohavanana
Andonabe Ranomena;Lohavanana
Lohavanana;Lohavanana
Ambohimanarivo;Lohavanana
Ambohimiarina;Lohavanana
Ambodirotra;Lohavanana
Lokomby;Lokomby
Ambodimanga;Lokomby
Fandova;Lokomby
Fenoarivo;Lokomby
Mitanty Est;Lokomby
Mahavelo Sirana;Lokomby
Vohibazimba;Lokomby
Ambodivoara;Longozabe
Ambohimiadana;Longozabe
Ankorak'i Dodo;Longozabe
Niarovana;Longozabe
Morarano Est;Longozabe
Andonaka;Longozabe
Ambodiarabe;Longozabe
Ambodiarakely;Longozabe
Ambinanisasaty;Longozabe
Ambodinivato;Longozabe
Longozabe;Longozabe
Ambodiara;Longozabe
Fenoarivo;Longozabe
Vohitrarivo;Longozabe
Vohibola;Longozabe
Betoko;Longozabe
Ambalarangotra;Longozabe
Ambodinonoka;Longozabe
Lopary;Lopary
Manasity;Lopary
Betsiraha;Lopary
Soarano;Lopary
Iabomora;Lopary
Mahazoarivo;Lopary
Anarabe;Lopary
Soatsirana;Lopary
Maroangaty;Lopary
Anandrotry I;Lopary
Miarinarivo;Lopary
Marolambo;Lopary
Mahabe I;Lopary
Morafeno;Lopary
Amboangibe;Lopary
Ankokalava;Mandialaza
Ambohimandroso;Mandialaza
Ambongabe;Mandialaza
Manakambahiny;Mandialaza
Ambongatsimo;Mandialaza
Mandialaza;Mandialaza
Antseva;Mandialaza
Ambohimiarimbe;Mandialaza
Fierenana;Mandialaza
Anjiakely Ouest;Madiromirafy
Mahalavolona;Madiromirafy
Madiromirafy;Madiromirafy
Anjiakely;Madirovalo
Antoboro;Madirovalo
Ankonatra;Madirovalo
Ampanofora;Madirovalo
Antanamifafy;Madirovalo
Tsianaboa;Madirovalo
Ambanjabe;Madirovalo
Mailaka;Madirovalo
Andoharano;Madirovalo
Manaribevitsika;Madirovalo
Madirohambana;Madirovalo
Antafia Bemarivo;Madirovalo
Morafeno;Madirovalo
Amboanio;Madirovalo
Ankeliroy;Madirovalo
Ambahavaha;Madirovalo
Antsohihy;Madirovalo
Bemarivo;Madirovalo
Beseva;Madirovalo
Amboromaika;Madirovalo
Ampasinabo;Madirovalo
Antanambao Tsararivotra;Madirovalo
Madirovalo;Madirovalo
Maevaranohely I;Maevaranohely
Ankoby I;Maevaranohely
Ankoby II;Maevaranohely
Ankisompy;Maevaranohely
Tsaramandroso;Maevaranohely
Sinjeny;Maevaranohely
Besokatra;Mahavanona
Ampandriankilandy;Mahavanona
Ambodivahibe;Mahavanona
Antanivelatra;Mahavanona
